codigo,tipo,datareceb,descricao,valor,NumTitulo,Serie,Instituicao,ContaContabil,ContaContabilDebito,N,Tipo_C,Codigo_C,Numero
197055,D,2025-07-28 00:00:00.000,Lançamento Referente Pagamento Duplicata,"991,40",13728,1,237,0,22,1,2,5467,13728
199185,D,2025-12-04 00:00:00.000,Lançamento Referente Pagamento Duplicata,"991,28",28208,1,2,0,22,1,2,2286,28208
197104,C,2025-07-30 00:00:00.000,Lançamento Referente Recebimento Duplicata,"991,22",54827,100,237,2,0,2,1,3363,54827
195111,D,2025-04-07 00:00:00.000,Lançamento Referente Pagamento Duplicata,"991,01",104643,S,237,0,17,1,2,5797,104643
197959,C,2025-09-18 00:00:00.000,Lançamento Referente Recebimento Duplicata,"990,53",55241,100,237,2,0,1,1,1211,55241
196405,C,2025-06-18 00:00:00.000,Lançamento Referente Recebimento Duplicata,"990,06",54781,100,237,2,0,1,1,4679,54781
197391,C,2025-08-15 00:00:00.000,Lançamento Referente Recebimento Duplicata,"990,01",55083,100,237,2,0,1,1,478,55083
195364,C,2025-04-17 00:00:00.000,Lançamento Referente Recebimento Duplicata,"989,37",54431,100,237,2,0,1,1,292,54431
198093,C,2025-09-25 00:00:00.000,Lançamento Referente Recebimento Duplicata,"989,14",55242,100,237,2,0,1,1,5753,55242
195330,C,2025-04-15 00:00:00.000,Lançamento Referente Recebimento Duplicata,"988,64",54339,100,237,2,0,2,1,542,54339
195543,C,2025-04-29 00:00:00.000,Lançamento Referente Recebimento Duplicata,"988,63",54339,100,237,2,0,3,1,542,54339
195955,C,2025-05-23 00:00:00.000,Lançamento Referente Recebimento Duplicata,"988,02",54618,100,237,2,0,1,1,1985,54618
197545,D,2025-08-26 00:00:00.000,Lançamento Referente Pagamento Duplicata,"987,75",117552,1,237,0,22,1,2,5835,117552
196798,C,2025-07-11 00:00:00.000,Lançamento Referente Recebimento Duplicata,"986,99",54814,100,237,2,0,2,1,561,54814
197039,C,2025-07-25 00:00:00.000,Lançamento Referente Recebimento Duplicata,"986,98",54814,100,237,2,0,3,1,561,54814
195426,C,2025-04-22 00:00:00.000,Lançamento Referente Recebimento Duplicata,"986,95",54470,100,237,2,0,1,1,381,54470
198469,C,2025-10-21 00:00:00.000,Lançamento Referente Recebimento Duplicata,"986,43",54771,100,2,2,0,1,1,2412,54771
195568,C,2025-04-30 00:00:00.000,Lançamento Referente Recebimento Duplicata,"985,88",54517,100,237,2,0,1,1,373,54517
196281,C,2025-06-10 00:00:00.000,Lançamento Referente Recebimento Duplicata,"985,74",54173,100,237,2,0,1,1,2412,54173
194518,C,2025-02-28 00:00:00.000,Lançamento Referente Recebimento Duplicata,"984,57",54143,100,237,2,0,1,1,2216,54143
199200,C,2025-12-04 00:00:00.000,Lançamento Referente Recebimento Duplicata,"984,24",55764,100,237,2,0,1,1,4894,55764
197137,C,2025-08-01 00:00:00.000,Lançamento Referente Recebimento Duplicata,"984,12",54871,100,237,2,0,2,1,1702,54871
195474,C,2025-04-24 00:00:00.000,Lançamento Referente Recebimento Duplicata,"983,91",54335,100,237,2,0,2,1,1565,54335
194000,D,2025-01-27 00:00:00.000,BRADESCO VIDA E PREVIDENCIA,"983,80",0,,237,0,39,0,0,0,NULL
194494,D,2025-02-27 00:00:00.000,BRADESCO VIDA E PREVIDENCIA,"983,80",0,,237,0,39,0,0,0,NULL
194979,D,2025-03-27 00:00:00.000,PAGTO ELETRON COBRANCA,"983,80",0,,237,0,39,0,0,0,NULL
195980,D,2025-05-27 00:00:00.000,BRADESCO VIDA E PREVIDENCIA,"983,80",0,,237,0,39,0,0,0,NULL
195515,D,2025-04-28 00:00:00.000,BRADESCO VIDA E PREVIDENCIA,"983,80",0,,237,0,39,0,0,0,NULL
